xDate,xHour,REGION,MICRO_CLUSTER,Subscluster,CLUSTER2b,site_id,BSC_ID,BCF_ID,BTS_ID,CELL_ID,BAND,tch_avail,TBF_DROP,CSSR,gsm_data_total_traffic_DL,Drop_Call_Rate_2,TCH_Traffic_trf_24c,HOSR,TASR,SDCCH_DROP,DLQUAL0_5,ULQUAL0_5,Date_hour,id
2021-04-16 00:00:00,0 days 05:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,2.5,95.6,2344.85,0.0,0.19,,100.0,4.4,99.42,100.0,2021-04-16 05:00:00,44353
2021-04-16 00:00:00,0 days 06:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.15,100.0,749.17,,0.01,100.0,100.0,0.0,100.0,100.0,2021-04-16 06:00:00,44351
2021-04-16 00:00:00,0 days 06:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,93.33,0.43,0.0,0.01,,100.0,6.67,100.0,54.55,2021-04-16 06:00:00,44352
2021-04-16 00:00:00,0 days 06:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,4.55,94.74,201.77,0.0,0.34,,100.0,5.26,100.0,99.66,2021-04-16 06:00:00,44353
2021-04-16 00:00:00,0 days 07:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.0,100.0,624.98,0.0,0.19,,100.0,0.0,100.0,100.0,2021-04-16 07:00:00,44351
2021-04-16 00:00:00,0 days 07:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,96.97,18.58,0.0,0.12,,100.0,3.03,98.99,100.0,2021-04-16 07:00:00,44352
2021-04-16 00:00:00,0 days 07:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.3,94.64,138.27,0.0,0.2,,100.0,5.36,99.57,99.57,2021-04-16 07:00:00,44353
2021-04-16 00:00:00,0 days 08:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.06,,825.77,,0.0,,,33.33,,,2021-04-16 08:00:00,44351
2021-04-16 00:00:00,0 days 08:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,4.76,93.62,310.93,0.0,0.24,,100.0,6.38,93.82,98.16,2021-04-16 08:00:00,44352
2021-04-16 00:00:00,0 days 08:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.21,100.0,231.98,0.0,3.02,100.0,100.0,0.0,99.72,98.39,2021-04-16 08:00:00,44353
2021-04-16 00:00:00,0 days 09:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.04,100.0,647.08,,0.0,100.0,100.0,0.0,100.0,100.0,2021-04-16 09:00:00,44351
2021-04-16 00:00:00,0 days 09:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,9.09,96.97,0.43,0.0,0.17,100.0,100.0,3.03,97.56,98.53,2021-04-16 09:00:00,44352
